Start,End,Text,Character,SentenceIndex,vaderNeg,vaderNeu,vaderPos,vaderCompound,roBERTaNeg,roBERTaNeu,roBERTaPos,roBERTaMajorSentiment,vaderMajorSentiment
7.968,9.886,"get lights back today , right ?",Chae Song-hwa,0,0.0,1.0,0.0,0.0,0.016367627,0.84583485,0.13779752,Neutral,Neutral
11.471,13.223,"seokhyeong , 'm holding cup coffee .",Chae Song-hwa,1,0.0,1.0,0.0,0.0,0.027893076,0.828409,0.14369789,Neutral,Neutral
13.974,14.975,sorry .,Yang Seok-hyung,2,1.0,0.0,0.0,-0.0772,0.48275325,0.42702612,0.09022062,Negative,Negative
24.318,25.819,long place empty ?,Chae Song-hwa,3,0.474,0.526,0.0,-0.2023,0.31374502,0.66168433,0.02457062,Neutral,Neutral
25.902,27.904,"gosh , look dust .",Chae Song-hwa,4,0.0,1.0,0.0,0.0,0.61916155,0.3268114,0.0540271,Negative,Neutral
30.741,32.784,three four years ? gosh .,Yang Seok-hyung,5,0.0,1.0,0.0,0.0,0.53098464,0.41640064,0.052614674,Negative,Neutral
37.956,39.374,feel like 'm club .,Chae Song-hwa,6,0.0,0.545,0.455,0.3612,0.1464067,0.7131749,0.14041841,Neutral,Neutral
41.209,42.377,light burn soon .,Chae Song-hwa,7,0.0,1.0,0.0,0.0,0.14806807,0.7519257,0.10000623,Neutral,Neutral
43.754,44.588,goodness .,Chae Song-hwa,8,0.0,0.0,1.0,0.4588,0.024299005,0.32578576,0.6499152,Positive,Positive
51.219,53.138,"mom , power went .",Yang Seok-hyung,9,0.0,1.0,0.0,0.0,0.111071646,0.7289651,0.15996331,Neutral,Neutral
53.847,55.265,get technician quickly ?,Chae Song-hwa,10,0.0,1.0,0.0,0.0,0.115055494,0.7832556,0.10168888,Neutral,Neutral
55.766,56.683,see .,Chae Song-hwa,11,0.0,1.0,0.0,0.0,0.20908241,0.6057027,0.18521489,Neutral,Neutral
57.351,58.894,"'ll shortly , .",Chae Song-hwa,12,0.0,1.0,0.0,0.0,0.046126503,0.8073384,0.14653502,Neutral,Neutral
59.269,60.562,okay .,Yang Seok-hyung,13,0.0,0.0,1.0,0.2263,0.11996016,0.5391302,0.34090966,Neutral,Positive
62.064,65.025,n't also ask 's okay drink coffee ?,Yang Seok-hyung,14,0.0,0.759,0.241,0.2263,0.09343048,0.8444924,0.06207715,Neutral,Neutral
65.108,66.568,said one cup day okay .,Yang Seok-hyung,15,0.0,0.678,0.322,0.2263,0.017922774,0.48901978,0.49305737,Positive,Neutral
71.281,72.949,n't thrown yet .,Chae Song-hwa,16,0.0,1.0,0.0,0.0,0.19207692,0.6805541,0.12736893,Neutral,Neutral
73.033,74.326,would throw ?,Yang Seok-hyung,17,0.0,1.0,0.0,0.0,0.10392491,0.81208223,0.08399295,Neutral,Neutral
75.118,77.162,"way , really going ?",Yang Seok-hyung,18,0.0,1.0,0.0,0.0,0.115241446,0.8232254,0.0615332,Neutral,Neutral
77.245,79.956,"gosh , . course .",Chae Song-hwa,19,0.0,1.0,0.0,0.0,0.26332936,0.6281654,0.10850514,Neutral,Neutral
80.54,81.625,?,Chae Song-hwa,20,0.0,0.0,0.0,0.0,0.20457315,0.68945074,0.10597605,Neutral,Positive
81.708,83.877,see . worried .,Chae Song-hwa,21,0.688,0.312,0.0,-0.296,0.5541337,0.41370842,0.032157883,Negative,Negative
84.419,85.712,.,Yang Seok-hyung,22,0.0,0.0,0.0,0.0,0.24528693,0.51357335,0.24113972,Neutral,Positive
86.296,87.756,need ikjun .,Chae Song-hwa,23,0.0,1.0,0.0,0.0,0.16587655,0.72962487,0.10449862,Neutral,Neutral
88.34,89.841,n't need .,Chae Song-hwa,24,0.0,1.0,0.0,0.0,0.32849228,0.57043546,0.10107225,Neutral,Neutral
90.55,92.052,said .,Yang Seok-hyung,25,0.0,1.0,0.0,0.0,0.204475,0.6001802,0.19534475,Neutral,Neutral
92.135,93.887,seriously ? wo n't ?,Chae Song-hwa,26,0.507,0.493,0.0,-0.264,0.31242236,0.65227485,0.03530276,Neutral,Negative
96.515,97.682,wo n't either .,Chae Song-hwa,27,0.0,1.0,0.0,0.0,0.3391091,0.5479792,0.11291169,Neutral,Neutral
98.392,101.645,n't time anyway . need help guys thesis .,Chae Song-hwa,28,0.0,0.69,0.31,0.4019,0.3826081,0.5613736,0.056018338,Neutral,Neutral
101.728,104.314,help . ?,Chae Song-hwa,29,0.0,0.0,1.0,0.4019,0.18431127,0.77004904,0.045639638,Neutral,Positive
104.94,107.818,"way , see jieun today ?",Chae Song-hwa,30,0.0,1.0,0.0,0.0,0.013677134,0.90010124,0.08622158,Neutral,Neutral
108.61,109.444,yes .,Yang Seok-hyung,31,0.0,0.0,1.0,0.4019,0.10013353,0.4596959,0.44017053,Neutral,Positive
110.529,111.905,buy things likes ?,Chae Song-hwa,32,0.0,0.417,0.583,0.4215,0.10683421,0.814305,0.0788608,Neutral,Positive
112.531,113.532,bought food,Yang Seok-hyung,33,0.0,1.0,0.0,0.0,0.092402026,0.8056767,0.10192125,Neutral,Neutral
113.615,117.077,gave bluetooth speaker listen music .,Chae Song-hwa,34,0.0,1.0,0.0,0.0,0.019017665,0.7123353,0.26864704,Neutral,Neutral
117.16,120.122,half nice friends .,Yang Seok-hyung,35,0.0,0.145,0.855,0.7096,0.011416972,0.16438784,0.82419515,Positive,Positive
121.456,122.749,lights go ?,Secondary,36,0.0,1.0,0.0,0.0,0.13275562,0.75493294,0.11231141,Neutral,Neutral
124.0,126.837,yes . one flickering bit burned .,Yang Seok-hyung,37,0.0,0.597,0.403,0.4019,0.3271398,0.59974164,0.07311859,Neutral,Neutral
128.922,131.425,"gosh , looks like probably redo wiring .",Secondary,38,0.0,0.667,0.333,0.3612,0.24456021,0.61724895,0.1381908,Neutral,Neutral
131.842,133.635,"'ll get working temporarily ,",Secondary,39,0.0,1.0,0.0,0.0,0.025721954,0.6569825,0.31729552,Neutral,Neutral
133.718,135.679,call bigger company reoccurs . okay .,Secondary,40,0.0,0.678,0.322,0.2263,0.025273116,0.5719167,0.40281016,Neutral,Neutral
135.762,138.849,could 've worked room tomorrow . n't work late .,Yang Seok-hyung,41,0.0,1.0,0.0,0.0,0.07252818,0.77931505,0.14815679,Neutral,Neutral
139.057,140.225,thank .,Secondary,42,0.0,0.0,1.0,0.3612,0.04915872,0.6146238,0.3362175,Neutral,Positive
140.308,141.893,"right . oh , .",Secondary,43,0.0,1.0,0.0,0.0,0.23044331,0.655156,0.11440066,Neutral,Neutral
143.228,144.354,"careful , sir .",Yang Seok-hyung,44,0.0,0.385,0.615,0.1531,0.1376203,0.737976,0.12440376,Neutral,Positive
144.438,146.982,"sir , shut breaker .",Chae Song-hwa,45,0.0,1.0,0.0,0.0,0.48522922,0.4638002,0.05097061,Negative,Neutral
147.065,149.734,'re even wearing gloves . 'll get electric shock .,Chae Song-hwa,46,0.271,0.729,0.0,-0.3818,0.5855525,0.37449172,0.039955776,Negative,Neutral
