Start,End,Text,Character,SentenceIndex
7.968,9.886,"You can get the lights back up today, right?",5.0,0
11.471,13.223,"Seok-hyeong, I'm holding a cup of coffee.",5.0,1
13.974,14.975,Sorry.,4.0,2
24.318,25.819,How long has this place been empty?,5.0,3
25.902,27.904,"Gosh, look at all this dust.",5.0,4
30.741,32.784,-About three to four years? -Gosh.,4.0,5
37.956,39.374,I feel like I'm in a club.,5.0,6
41.209,42.377,That light will burn out soon.,5.0,7
43.754,44.588,Goodness.,5.0,8
51.219,53.138,"Mom, the power went out again.",4.0,9
53.847,55.265,Can you get a technician quickly?,5.0,10
55.766,56.683,I see.,5.0,11
57.351,58.894,"He'll be here shortly, then.",5.0,12
59.269,60.562,Okay.,4.0,13
62.064,65.025,Why didn't you also ask her if it's okay for you to drink coffee?,4.0,14
65.108,66.568,She said one cup a day is okay.,4.0,15
71.281,72.949,You haven't thrown those out yet.,5.0,16
73.033,74.326,Why would I throw them out?,4.0,17
75.118,77.162,"By the way, are you really not going to do it?",4.0,18
77.245,79.956,"Gosh, no. Of course not.",5.0,19
80.54,81.625,Then why are you here?,5.0,20
81.708,83.877,To see you. I was worried about you.,5.0,21
84.419,85.712,Then just do it.,4.0,22
86.296,87.756,You just need Ik-jun.,5.0,23
88.34,89.841,You don't need me.,5.0,24
90.55,92.052,He said no.,4.0,25
92.135,93.887,Seriously? He won't?,5.0,26
96.515,97.682,I won't do it either.,5.0,27
98.392,101.645,I don't have time anyway. I need to help my guys with their thesis.,5.0,28
101.728,104.314,-Help me too. -Why should I?,5.0,29
104.94,107.818,"By the way, did you see Ji-eun today?",5.0,30
108.61,109.444,Yes.,4.0,31
110.529,111.905,Did you buy her things that she likes?,5.0,32
112.531,113.532,I bought her some food,4.0,33
113.615,117.077,and gave her a Bluetooth speaker so that she can listen to music.,5.0,34
117.16,120.122,If only you were half as nice as that to your friends.,4.0,35
121.456,122.749,Did the lights go out again?,,36
124.0,126.837,Yes. This one was flickering for a bit and burned out.,4.0,37
128.922,131.425,"Gosh, it looks like you probably should redo all the wiring.",,38
131.842,133.635,"We'll get this working temporarily,",,39
133.718,135.679,-but call a bigger company if it reoccurs. -Okay.,,40
135.762,138.849,You could've worked on my room tomorrow. You didn't have to work so late.,4.0,41
139.057,140.225,Thank you.,,42
140.308,141.893,"-All right. -Oh, no.",,43
143.228,144.354,"Be careful, sir.",4.0,44
144.438,146.982,"Sir, you should shut off the breaker before you do that.",5.0,45
147.065,149.734,You're not even wearing gloves. You'll get an electric shock.,5.0,46
153.864,155.073,Call an ambulance.,5.0,47
160.912,162.789,Are you all right? Are you in pain?,5.0,48
163.582,166.543,Hello? The address here is 33-1 Jogang-dong.,4.0,49
166.626,168.211,A man collapsed due to an electric shock.,4.0,50
168.295,170.505,"Get here quickly, please. As soon as possible.",4.0,51
170.589,172.424,Are you having difficulty breathing?,5.0,52
173.55,177.429,My goodness. What's happening?,,53
177.846,178.722,Goodness.,,54
180.849,183.81,"Oh, no. What's happening to him?",,55
192.11,193.278,Here!,,56
194.237,195.155,We're here!,,57
195.906,196.907,Here!,,58
197.282,198.116,Sir.,5.0,59
199.409,200.66,Sir?,5.0,60
202.12,204.873,"Sir, do you know where you are now?",5.0,61
210.795,213.507,"Just leave him there, please. You did great.",,62
224.893,226.937,"Hey, I'll be back soon.",,63
228.855,232.108,He had an electric shock seven minutes ago and got a mild burn on his right hand.,5.0,64
232.192,233.86,I performed CPR for two minutes.,5.0,65
233.944,236.488,"His heart is pumping again, but it's not stable yet.",5.0,66
236.571,238.198,-Are you a doctor? -Yes.,,67
239.366,241.743,His vitals seem unstable.,5.0,68
241.826,244.162,-Could you come with us? -I got an emergency call.,5.0,69
