Start,End,Text,Character,SentenceIndex
21.396,22.896,Thank you.,,0
24.566,27.316,"I'm looking forward to your involvement at the Neuroscience Center,",,1
27.402,28.822,-Chief Min. -Goodness.,,2
28.987,30.907,"Yes. I'm looking forward to it, too.",,3
31.156,33.906,"It's only been a few days, but I can see you have a great system",,4
33.992,35.292,and talented medical staff here.,,5
35.368,37.498,I should thank you for allowing me to join.,,6
37.579,39.749,"Professor Chae, I'm looking forward to working with you.",,7
40.373,43.173,Why don't we all have a meal together? The cafeteria serves good food.,,8
43.251,44.461,"-Yes, sir. -Yes, sir.",,9
44.753,46.923,Don't be so formal. You can talk to me casually.,,10
47.005,48.005,Okay.,,11
48.548,51.178,Professor Min looks much better in person than on TV.,,12
51.426,52.926,"He's on a lot of TV shows,",,13
53.011,55.221,but he performs all of his surgeries himself.,,14
59.392,61.692,I want you to take Gong Hyeong-u's surgery.,,15
61.77,64.48,He's not in critical condition. But this surgery is tricky.,,16
64.564,66.784,"Reporters have their eyes on us,",,17
66.858,68.568,"so his surgery must go well, no matter what.",,18
68.651,72.241,We can use this surgery to get your name out there.,,19
72.322,75.912,My surgery schedule for next week is full. I don't have time for it.,5.0,20
77.41,78.83,Come on.,,21
79.788,81.828,"Min-sik, I heard you have a third baby on the way.",,22
81.915,83.745,What? How did you know?,,23
83.833,85.003,I heard you guys talking.,,24
85.085,86.455,You should go home.,,25
87.045,90.875,I can handle your emergency calls. I can take two or three calls a month.,,26
90.965,93.465,-Thank you. It's a nice gesture. -It's not just a gesture.,,27
93.551,94.971,You're breaking my heart.,,28
95.136,96.346,Thank you.,,29
98.89,101.81,"By the way, how much longer are they going to film us?",,30
101.893,104.233,"Gosh, working as a TV director must be so hard.",,31
104.312,106.112,"Goodness, nothing is easy in this world.",,32
106.773,107.773,Sir.,,33
107.857,109.607,You should just eat comfortably.,,34
109.692,110.942,I won't go anywhere.,,35
111.027,113.147,I'll do everything you ask. Just enjoy your meal.,,36
113.238,114.238,Thank you.,,37
118.368,119.788,Dr. Yong.,,38
119.911,121.581,Han Seung-hyeok needs a lumbar drain.,,39
121.663,122.793,Have you done it?,,40
124.833,126.003,Who?,,41
126.084,127.344,Han Seung-hyeok in Room 7104.,,42
127.919,129.629,Isn't that Professor Min Gi-jun's patient?,,43
129.712,130.922,Yes.,,44
134.3,137.47,This is Park Jeong-su. I took a look at his CT angiography scan this morning.,,45
137.554,140.434,"I saw an unruptured cerebral aneurysm, so he was admitted today.",,46
140.515,142.095,His surgery is scheduled next week.,,47
143.768,146.018,You look more handsome in the patient gown.,,48
146.312,149.652,"Dr. Min, this surgery isn't difficult, is it?",,49
150.316,152.356,I have performed this surgery hundreds of times.,,50
152.443,153.863,You don't have to worry.,,51
154.946,156.406,Where's the location of his aneurysm?,,52
156.489,158.659,The right paraclinoid aneurysm is on the cerebral artery.,,53
158.741,161.041,-But its neck seemed narrow. -I see.,,54
161.619,164.289,There won't be any problems. It's a simple surgery.,,55
166.207,167.497,Do you have a girlfriend?,,56
167.917,168.917,Yes.,,57
169.46,171.05,"Wait, no.",,58
171.129,173.379,What? Do you think I'd be against you having a girlfriend?,,59
173.798,176.338,"Gosh, he's making me look bad.",,60
177.218,179.048,"-All right, then. -Thank you, Doctor.",,61
179.137,180.137,Sure.,,62
184.392,187.152,Hello. How do you feel today?,,63
190.94,192.32,Whatever.,,64
193.234,195.284,What? What are you going to do?,,65
195.778,197.818,-Is that so? -They only ran a blood test,,66
197.906,199.116,and gave him an IV drip.,,67
199.199,201.159,And no one came to check on him!,,68
201.659,203.949,We still haven't heard about his surgery date.,,69
204.037,205.157,No one gave us an update.,,70
205.246,207.746,Do you just want him to die? Is that it?,,71
207.832,210.462,I am truly sorry.,,72
210.543,213.343,I believe my resident missed it as he was busy.,,73
214.088,216.168,I will apologize on his behalf.,,74
216.758,218.008,I am very sorry.,,75
222.639,223.719,Who's in charge?,,76
224.307,226.057,Should I just do it myself?,,77
226.684,229.234,Han Seung-hyeok really needs to get a lumbar drain today.,,78
229.312,230.692,You can't just do it yourself.,,79
230.772,233.522,Professor Min told you to check everything with him.,,80
233.608,235.688,Don't you remember the colossal disaster last week?,,81
236.778,239.278,Professor Min should at least give you orders.,,82
239.364,241.624,He didn't give any orders after the patient got admitted.,,83
242.242,245.292,"He seems nice in front of patients, but he doesn't care about them at all.",,84
245.703,247.963,"Seok-min, I moved up Lee Myeong-gi's surgery.",5.0,85
248.039,249.209,Get his guardian's consent.,5.0,86
249.29,250.12,Okay.,,87
250.208,252.998,It's not that urgent. Finish your ramyeon and take a breather.,5.0,88
253.086,254.416,I'm done.,,89
255.004,256.304,Take your time.,,90
256.381,257.381,You!,,91
258.216,259.836,How can you be eating right now?,,92
260.343,261.593,How can you eat now?,,93
262.47,265.1,Why didn't you do a lumbar drain for Han Seung-hyeok?,,94
265.181,266.891,-Why didn't you do it? -Sir.,,95
268.81,270.23,Do you call yourself a doctor?,,96
270.311,271.811,How can you call yourself a doctor?,,97
271.896,274.226,What if the hydrocephalus gets worse and puts him in danger?,,98
274.315,276.725,Will you take responsibility for that? Will you?,,99
276.818,279.358,You didn't give me any orders. Why are you blaming me?,,100
279.445,280.695,Are you out of your mind?,,101
280.78,283.99,How dare you talk back to me?,,102
284.659,285.659,Hey.,,103
286.16,287.25,Hey.,,104
288.037,289.577,You call yourself a chief resident?,,105
290.164,293.464,You can't even make a judgment call. You shouldn't be a chief resident.,,106
294.252,295.302,Seriously?,,107
295.795,296.795,Look at you.,,108
297.839,299.169,Are you glaring at me?,,109
299.674,300.554,Stop glaring.,,110
301.134,302.764,"Stop glaring at me, you bastard!",,111
305.013,306.473,Stop glaring!,,112
324.282,325.492,"Lastly, the complications.",,113
325.575,327.945,"One percent of patients experience altered consciousness,",,114
328.036,330.706,"convulsion, dyskinesia, and so on. Sequelae are infectious diseases,",,115
330.788,333.328,"encephalitis, meningitis, and brain abscess. Any questions?",,116
334.042,335.592,I doubt you have any.,,117
338.254,339.344,"All right, then.",,118
343.634,344.764,Okay.,,119
346.22,348.31,"Lastly, due to the lack of oxygen in the organs,",,120
348.431,351.101,"one percent of patients suffer organ failure, brain damage, and--",,121
351.184,352.444,"""Brain damage""?",,122
353.019,355.609,How did you not know Mother was this sick?,,123
356.314,359.734,"Doctor, is my mom's surgery that serious?",,124
359.817,361.277,"No, they're just the possibilities.",,125
361.361,363.781,I'm only informing you of the possibilities.,,126
364.364,366.374,Her heart muscles may be damaged during the surgery.,,127
366.449,367.949,"In severe cases, she may die.",,128
368.034,369.414,"""Die""?",,129
370.578,372.828,She was fine just a few minutes ago.,,130
372.914,374.624,I'm not saying that she will die.,,131
374.707,376.247,I'm saying that could happen.,,132
376.334,377.504,"Oh, Mom.",,133
377.835,379.745,What if Mom dies during the surgery?,,134
379.837,382.217,I feel so bad for her!,,135
383.341,386.801,I won't be able to live! I'm going to miss her so much!,,136
386.886,388.756,I can't live without her.,,137
388.846,391.846,Mom. You!,,138
393.226,395.136,Mom!,,139
395.561,399.191,Poor Mom!,,140
399.774,402.864,Excuse me. She's still alive.,,141
402.944,404.784,Mom.,,142
404.862,406.992,Mom.,,143
409.367,410.617,Mom.,,144
415.915,418.665,Did you just get here? Are you on the night shift again?,,145
418.751,420.961,"-No, I'm not. -Are you going home now?",,146
421.045,422.045,I have the morning shift.,,147
422.13,423.59,Then why are you here at seven?,,148
423.673,425.013,This is when my shift starts.,,149
425.091,426.931,-It's night. -It's morning.,,150
427.844,428.854,What?,,151
434.434,437.944,YULJE MEDICAL CENTER,,152
454.12,455.5,Tell me about the patient.,1.0,153
455.58,459.63,"He had a stomachache and was constipated, so I performed an enema. He's fine now.",,154
459.917,460.957,"I'm sorry, sir.",,155
461.127,464.087,My intern was so scared that they called you directly.,,156
464.297,465.507,I'm sorry.,,157
465.59,466.55,"No, that's okay.",1.0,158
467.008,468.838,"You must have been scared, too.",1.0,159
470.511,472.101,"You were scared, weren't you?",,160
473.764,477.064,"This happens to kids often, so you don't need to worry too much.",,161
477.226,480.726,A lot of kids around Jeong-hu's age come to the ER because of constipation.,,162
481.314,483.234,-Isn't he your first son? -Yes.,,163
483.316,485.816,Moms get scared for their first children and come to the ER a lot.,,164
485.902,489.782,Moms with second or third children are like experts.,,165
489.864,492.954,"They come here, ask for the meds, chat a little, and leave.",,166
493.034,494.164,Really?,,167
494.744,498.464,I was so scared that something would happen to my son.,,168
499.29,501.92,"My gosh, I still have a long way to go as a mother.",,169
502.001,504.961,Even experienced mothers get scared for their first children.,,170
505.046,507.546,It's natural to be scared. Don't beat yourself up.,,171
508.799,510.799,It looks like he fell asleep.,,172
510.885,513.465,We should let him sleep. Do you want to get some coffee?,,173
513.554,515.184,-Sounds great. -Let's go.,,174
516.432,517.642,Is the café open?,,175
555.721,560.101,"Professor Lee, I noticed that the date for my returning flight is next week,",,176
560.184,561.524,not this week.,,177
561.602,565.232,I'm grateful that you paid for my flight.,,178
565.731,568.781,But what about U-ju? Who will watch U-ju?,,179
568.859,571.899,U-ju? My parents are coming this afternoon.,3.0,180
571.988,575.198,They will watch him for me. You have nothing to worry about.,3.0,181
575.825,578.615,Okay. Go sightseeing with your daughter.,3.0,182
579.245,581.075,"You know, China is a big country.",3.0,183
581.622,583.872,"U-ju, that's spicy.",3.0,184
583.958,585.078,It's really spicy.,3.0,185
585.167,586.997,You should eat your soup. Eat your food.,3.0,186
587.67,589.21,Okay. Bye.,3.0,187
590.756,592.086,"Hi, Mom.",5.0,188
594.885,597.505,Why would I go there with Professor Jang?,5.0,189
597.93,600.68,Gosh. I can't go there for a reason.,5.0,190
601.892,603.942,I broke up with him.,5.0,191
605.563,607.943,I broke up with Professor Jang.,5.0,192
608.065,609.855,What? Why?,,193
609.942,611.612,He cheated on me.,5.0,194
612.153,613.653,He cheated on...,5.0,195
614.905,617.275,"That jerk, Professor Jang, cheated on me.",5.0,196
617.366,619.486,"Last week, when I was tired after surgery,",5.0,197
619.577,622.457,he came to my office himself and confessed everything.,5.0,198
622.538,624.328,He said he was seeing someone else.,5.0,199
625.166,628.376,"My gosh. I'm not in my 20s. Of course, I'm fine.",5.0,200
628.461,630.671,I'm really busy these days. Maybe it's better this way.,5.0,201
630.755,633.795,I can live without him. Or I can get a new boyfriend.,5.0,202
633.883,637.223,"Mom, I'm going into surgery. Bye.",5.0,203
638.304,639.604,You startled me.,5.0,204
646.52,647.81,Are you trying to look funny?,5.0,205
648.397,649.647,"That, too.",3.0,206
649.732,650.822,Stay ten steps away from me.,5.0,207
650.9,652.4,It's embarrassing to be seen with you.,5.0,208
653.11,654.78,Did Professor Jang cheat on you?,3.0,209
654.862,656.072,Did you hear that?,5.0,210
