Start,End,Text,Character,SentenceIndex,vaderNeg,vaderNeu,vaderPos,vaderCompound,roBERTaNeg,roBERTaNeu,roBERTaPos,roBERTaMajorSentiment,vaderMajorSentiment
33.158,34.658,"dr. ahn , sangu .",Secondary,0,0.0,1.0,0.0,0.0,0.0879372,0.8293558,0.08270702,Neutral,Neutral
34.743,38.293,goodness . sangu .,Ahn Jeong-won,1,0.0,0.25,0.75,0.4588,0.026823679,0.42777023,0.54540604,Positive,Positive
38.371,40.921,"sangu , say hello doctor .",Secondary,2,0.0,1.0,0.0,0.0,0.035260696,0.8051825,0.15955684,Neutral,Neutral
41.124,43.334,right . go .,Secondary,3,0.0,1.0,0.0,0.0,0.09675743,0.6065693,0.2966733,Neutral,Neutral
43.793,46.303,"sangu , came shark today .",Ahn Jeong-won,4,0.0,1.0,0.0,0.0,0.04490817,0.88832635,0.066765524,Neutral,Neutral
46.88,51.05,take look 's inside shark 's mouth ?,Ahn Jeong-won,5,0.0,1.0,0.0,0.0,0.11161698,0.8584299,0.029953076,Neutral,Neutral
51.968,53.088,"oh , .",Ahn Jeong-won,6,0.0,1.0,0.0,0.0,0.29706195,0.561192,0.14174606,Neutral,Neutral
53.386,56.766,"sangu , crying ?",Secondary,7,0.756,0.244,0.0,-0.4767,0.4317791,0.54358226,0.024638655,Neutral,Negative
57.057,60.227,doctor going ease stomachache .,Secondary,8,0.0,0.545,0.455,0.3612,0.09278363,0.7308357,0.17638068,Neutral,Neutral
60.31,62.77,'s trying ease stomachache . crying ?,Secondary,9,0.36,0.349,0.291,-0.1531,0.45709932,0.50401425,0.038886428,Neutral,Negative
62.854,63.864,n't cry .,Secondary,10,0.0,0.281,0.719,0.3724,0.12971632,0.6534753,0.21680835,Neutral,Positive
65.523,66.823,"keep crying ,",Secondary,11,0.756,0.244,0.0,-0.4767,0.64660126,0.31021217,0.04318663,Negative,Negative
66.9,70.78,scary doctor going scold give shot .,Secondary,12,0.596,0.404,0.0,-0.7096,0.64170074,0.33823988,0.02005932,Negative,Negative
71.529,72.909,"right , doctor ?",Secondary,13,0.0,1.0,0.0,0.0,0.1456592,0.7714745,0.0828663,Neutral,Neutral
74.032,76.242,bad boy ! 's syringe ?,Ahn Jeong-won,14,0.558,0.442,0.0,-0.5848,0.31553268,0.64736414,0.03710315,Neutral,Negative
76.451,79.871,"nurse , big syringe sangu going get ?",Ahn Jeong-won,15,0.0,1.0,0.0,0.0,0.18723683,0.7726054,0.04015775,Neutral,Neutral
79.954,82.294,"sangu , quiet . stop crying .",Secondary,16,0.726,0.274,0.0,-0.6486,0.39032212,0.53569394,0.07398393,Neutral,Negative
83.208,86.708,"keep crying , doctor going bring big syringe .",Secondary,17,0.341,0.659,0.0,-0.4767,0.708451,0.26872477,0.022824246,Negative,Neutral
